2025-04-11 19:35:21 status half-installed libroken18-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status unpacked libroken18-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 install libasn1-8-heimdal:amd64 <none> 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status half-installed libasn1-8-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status unpacked libasn1-8-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 install libheimbase1-heimdal:amd64 <none> 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status half-installed libheimbase1-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status unpacked libheimbase1-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 install libhcrypto4-heimdal:amd64 <none> 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status half-installed libhcrypto4-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status unpacked libhcrypto4-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 install libwind0-heimdal:amd64 <none> 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status half-installed libwind0-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status unpacked libwind0-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 install libhx509-5-heimdal:amd64 <none> 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status half-installed libhx509-5-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status unpacked libhx509-5-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 install libkrb5-26-heimdal:amd64 <none> 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status half-installed libkrb5-26-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status unpacked libkrb5-26-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 install libheimntlm0-heimdal:amd64 <none> 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status half-installed libheimntlm0-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status unpacked libheimntlm0-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 install libgssapi3-heimdal:amd64 <none> 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status half-installed libgssapi3-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 status unpacked libgssapi3-heimdal:amd64 7.7.0+dfsg-1ubuntu1.4
2025-04-11 19:35:21 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-2ubuntu0.1
2025-04-11 19:35:21 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2ubuntu0.1
2025-04-11 19:35:21 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2ubuntu0.1
2025-04-11 19:35:21 install libsasl2-2:amd64 <none> 2.1.27+dfsg-2ubuntu0.1
2025-04-11 19:35:21 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2ubuntu0.1
2025-04-11 19:35:21 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2ubuntu0.1
2025-04-11 19:35:21 install libldap-common:all <none> 2.4.49+dfsg-2ubuntu1.10
2025-04-11 19:35:21 status half-installed libldap-common:all 2.4.49+dfsg-2ubuntu1.10
2025-04-11 19:35:21 status unpacked libldap-common:all 2.4.49+dfsg-2ubuntu1.10
2025-04-11 19:35:22 install libldap-2.4-2:amd64 <none> 2.4.49+dfsg-2ubuntu1.10
2025-04-11 19:35:22 status half-installed libldap-2.4-2:amd64 2.4.49+dfsg-2ubuntu1.10
2025-04-11 19:35:22 status unpacked libldap-2.4-2:amd64 2.4.49+dfsg-2ubuntu1.10
2025-04-11 19:35:22 install libaprutil1-ldap:amd64 <none> 1.6.1-4ubuntu2.2
2025-04-11 19:35:22 status half-installed libaprutil1-ldap:amd64 1.6.1-4ubuntu2.2
2025-04-11 19:35:22 status unpacked libaprutil1-ldap:amd64 1.6.1-4ubuntu2.2
2025-04-11 19:35:22 install libbrotli1:amd64 <none> 1.0.7-6ubuntu0.1
2025-04-11 19:35:22 status half-installed libbrotli1:amd64 1.0.7-6ubuntu0.1
2025-04-11 19:35:22 status unpacked libbrotli1:amd64 1.0.7-6ubuntu0.1
2025-04-11 19:35:22 install libkrb5support0:amd64 <none> 1.17-6ubuntu4.9
2025-04-11 19:35:22 status half-installed libkrb5support0:amd64 1.17-6ubuntu4.9
2025-04-11 19:35:22 status unpacked libkrb5support0:amd64 1.17-6ubuntu4.9
2025-04-11 19:35:22 install libk5crypto3:amd64 <none> 1.17-6ubuntu4.9
2025-04-11 19:35:22 status half-installed libk5crypto3:amd64 1.17-6ubuntu4.9
2025-04-11 19:35:22 status unpacked libk5crypto3:amd64 1.17-6ubuntu4.9
2025-04-11 19:35:22 install libkeyutils1:amd64 <none> 1.6-6ubuntu1.1
2025-04-11 19:35:22 status half-installed libkeyutils1:amd64 1.6-6ubuntu1.1
2025-04-11 19:35:22 status unpacked libkeyutils1:amd64 1.6-6ubuntu1.1
2025-04-11 19:35:22 install libkrb5-3:amd64 <none> 1.17-6ubuntu4.9
2025-04-11 19:35:22 status half-installed libkrb5-3:amd64 1.17-6ubuntu4.9
2025-04-11 19:35:22 status unpacked libkrb5-3:amd64 1.17-6ubuntu4.9
2025-04-11 19:35:22 install libgssapi-krb5-2:amd64 <none> 1.17-6ubuntu4.9
2025-04-11 19:35:22 status half-installed libgssapi-krb5-2:amd64 1.17-6ubuntu4.9
2025-04-11 19:35:22 status unpacked libgssapi-krb5-2:amd64 1.17-6ubuntu4.9
2025-04-11 19:35:22 install libnghttp2-14:amd64 <none> 1.40.0-1ubuntu0.3
2025-04-11 19:35:22 status half-installed libnghttp2-14:amd64 1.40.0-1ubuntu0.3
2025-04-11 19:35:22 status unpacked libnghttp2-14:amd64 1.40.0-1ubuntu0.3
2025-04-11 19:35:22 install libpsl5:amd64 <none> 0.21.0-1ubuntu1
2025-04-11 19:35:22 status half-installed libpsl5:amd64 0.21.0-1ubuntu1
2025-04-11 19:35:22 status unpacked libpsl5:amd64 0.21.0-1ubuntu1
2025-04-11 19:35:22 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2build1
2025-04-11 19:35:22 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2build1
2025-04-11 19:35:22 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2build1
2025-04-11 19:35:22 install libssh-4:amd64 <none> 0.9.3-2ubuntu2.5
2025-04-11 19:35:22 status half-installed libssh-4:amd64 0.9.3-2ubuntu2.5
2025-04-11 19:35:22 status unpacked libssh-4:amd64 0.9.3-2ubuntu2.5
2025-04-11 19:35:22 install libcurl4:amd64 <none> 7.68.0-1ubuntu2.25
2025-04-11 19:35:22 status half-installed libcurl4:amd64 7.68.0-1ubuntu2.25
2025-04-11 19:35:22 status unpacked libcurl4:amd64 7.68.0-1ubuntu2.25
2025-04-11 19:35:22 install libjansson4:amd64 <none> 2.12-1build1
2025-04-11 19:35:22 status half-installed libjansson4:amd64 2.12-1build1
2025-04-11 19:35:22 status unpacked libjansson4:amd64 2.12-1build1
2025-04-11 19:35:22 install liblua5.2-0:amd64 <none> 5.2.4-1.1build3
2025-04-11 19:35:22 status half-installed liblua5.2-0:amd64 5.2.4-1.1build3
2025-04-11 19:35:23 status unpacked liblua5.2-0:amd64 5.2.4-1.1build3
2025-04-11 19:35:23 install tzdata:all <none> 2025b-0ubuntu0.20.04
2025-04-11 19:35:23 status half-installed tzdata:all 2025b-0ubuntu0.20.04
2025-04-11 19:35:23 status unpacked tzdata:all 2025b-0ubuntu0.20.04
2025-04-11 19:35:23 install libicu66:amd64 <none> 66.1-2ubuntu2.1
2025-04-11 19:35:23 status half-installed libicu66:amd64 66.1-2ubuntu2.1
2025-04-11 19:35:25 status unpacked libicu66:amd64 66.1-2ubuntu2.1
2025-04-11 19:35:25 install libxml2:amd64 <none> 2.9.10+dfsg-5ubuntu0.20.04.9
2025-04-11 19:35:25 status half-installed libxml2:amd64 2.9.10+dfsg-5ubuntu0.20.04.9
2025-04-11 19:35:25 status unpacked libxml2:amd64 2.9.10+dfsg-5ubuntu0.20.04.9
2025-04-11 19:35:25 install apache2-bin:amd64 <none> 2.4.41-4ubuntu3.23
2025-04-11 19:35:25 status half-installed apache2-bin:amd64 2.4.41-4ubuntu3.23
2025-04-11 19:35:25 status unpacked apache2-bin:amd64 2.4.41-4ubuntu3.23
2025-04-11 19:35:25 install apache2-data:all <none> 2.4.41-4ubuntu3.23
2025-04-11 19:35:25 status half-installed apache2-data:all 2.4.41-4ubuntu3.23
2025-04-11 19:35:25 status unpacked apache2-data:all 2.4.41-4ubuntu3.23
2025-04-11 19:35:25 install apache2-utils:amd64 <none> 2.4.41-4ubuntu3.23
2025-04-11 19:35:25 status half-installed apache2-utils:amd64 2.4.41-4ubuntu3.23
2025-04-11 19:35:25 status unpacked apache2-utils:amd64 2.4.41-4ubuntu3.23
2025-04-11 19:35:25 install apache2:amd64 <none> 2.4.41-4ubuntu3.23
2025-04-11 19:35:25 status half-installed apache2:amd64 2.4.41-4ubuntu3.23
2025-04-11 19:35:25 status triggers-pending systemd:amd64 245.4-4ubuntu3.24
2025-04-11 19:35:25 status unpacked apache2:amd64 2.4.41-4ubuntu3.23
2025-04-11 19:35:25 install openssl:amd64 <none> 1.1.1f-1ubuntu2.24
2025-04-11 19:35:25 status half-installed openssl:amd64 1.1.1f-1ubuntu2.24
2025-04-11 19:35:25 status unpacked openssl:amd64 1.1.1f-1ubuntu2.24
2025-04-11 19:35:25 install ca-certificates:all <none> 20240203~20.04.1
2025-04-11 19:35:25 status half-installed ca-certificates:all 20240203~20.04.1
2025-04-11 19:35:26 status unpacked ca-certificates:all 20240203~20.04.1
2025-04-11 19:35:26 install libdbus-1-3:amd64 <none> 1.12.16-2ubuntu2.3
2025-04-11 19:35:26 status half-installed libdbus-1-3:amd64 1.12.16-2ubuntu2.3
2025-04-11 19:35:26 status unpacked libdbus-1-3:amd64 1.12.16-2ubuntu2.3
2025-04-11 19:35:26 install dbus:amd64 <none> 1.12.16-2ubuntu2.3
2025-04-11 19:35:26 status half-installed dbus:amd64 1.12.16-2ubuntu2.3
2025-04-11 19:35:26 status unpacked dbus:amd64 1.12.16-2ubuntu2.3
2025-04-11 19:35:26 install distro-info-data:all <none> 0.43ubuntu1.17
2025-04-11 19:35:26 status half-installed distro-info-data:all 0.43ubuntu1.17
2025-04-11 19:35:26 status unpacked distro-info-data:all 0.43ubuntu1.17
2025-04-11 19:35:26 install dmsetup:amd64 <none> 2:1.02.167-1ubuntu1
2025-04-11 19:35:26 status half-installed dmsetup:amd64 2:1.02.167-1ubuntu1
2025-04-11 19:35:26 status unpacked dmsetup:amd64 2:1.02.167-1ubuntu1
2025-04-11 19:35:26 install libmagic-mgc:amd64 <none> 1:5.38-4
2025-04-11 19:35:26 status half-installed libmagic-mgc:amd64 1:5.38-4
2025-04-11 19:35:26 status unpacked libmagic-mgc:amd64 1:5.38-4
2025-04-11 19:35:26 install libmagic1:amd64 <none> 1:5.38-4
2025-04-11 19:35:26 status half-installed libmagic1:amd64 1:5.38-4
2025-04-11 19:35:26 status unpacked libmagic1:amd64 1:5.38-4
2025-04-11 19:35:26 install file:amd64 <none> 1:5.38-4
2025-04-11 19:35:26 status half-installed file:amd64 1:5.38-4
2025-04-11 19:35:26 status unpacked file:amd64 1:5.38-4
2025-04-11 19:35:26 install libglib2.0-0:amd64 <none> 2.64.6-1~ubuntu20.04.8
2025-04-11 19:35:26 status half-installed libglib2.0-0:amd64 2.64.6-1~ubuntu20.04.8
2025-04-11 19:35:26 status unpacked libglib2.0-0:amd64 2.64.6-1~ubuntu20.04.8
2025-04-11 19:35:26 install libgirepository-1.0-1:amd64 <none> 1.64.1-1~ubuntu20.04.1
2025-04-11 19:35:26 status half-installed libgirepository-1.0-1:amd64 1.64.1-1~ubuntu20.04.1
2025-04-11 19:35:26 status unpacked libgirepository-1.0-1:amd64 1.64.1-1~ubuntu20.04.1
2025-04-11 19:35:26 install gir1.2-glib-2.0:amd64 <none> 1.64.1-1~ubuntu20.04.1
2025-04-11 19:35:26 status half-installed gir1.2-glib-2.0:amd64 1.64.1-1~ubuntu20.04.1
2025-04-11 19:35:26 status unpacked gir1.2-glib-2.0:amd64 1.64.1-1~ubuntu20.04.1
2025-04-11 19:35:26 install libbsd0:amd64 <none> 0.10.0-1
2025-04-11 19:35:26 status half-installed libbsd0:amd64 0.10.0-1
2025-04-11 19:35:26 status unpacked libbsd0:amd64 0.10.0-1
2025-04-11 19:35:26 install libglib2.0-data:all <none> 2.64.6-1~ubuntu20.04.8
2025-04-11 19:35:26 status half-installed libglib2.0-data:all 2.64.6-1~ubuntu20.04.8
2025-04-11 19:35:26 status unpacked libglib2.0-data:all 2.64.6-1~ubuntu20.04.8
